Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~A3_BACKPANELv3.PrjPcb|ReportField=ProjectFullPath~C:\Users\suraj\Documents\PCBs\AMFv3\A3_BACKPANEL_v3\A3_BACKPANELv3.PrjPcb|ReportField=Title~Bill of Materials For Project [A3_BACKPANELv3.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~16|ReportField=ReportTime~5:20:55 PM|ReportField=ReportDate~4/22/2013|ReportField=ReportDateTime~4/22/2013 5:20:55 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~4/22/2013|ReportField=CurrentTime~5:20:30 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\suraj\Documents\PCBs\AMFv3\A3_BACKPANEL_v3\PANEL.SchDoc|ReportField=DocumentName~PANEL.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~SURAJ|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~4/22/2013|ReportField=Organization~|ReportField=ProjectName~A3_BACKPANELv3.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~5|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~A3_BACKPANELv3.PrjPcb|ReportField=DataSourceFullPath~C:\Users\suraj\Documents\PCBs\AMFv3\A3_BACKPANEL_v3\A3_BACKPANELv3.PrjPcb
Header 14|Header, 14-Pin|P7|HDR1X14_BURGE_M|Header 14|1
XY2500 7PIN+8PIN MALE ST, FEMALE R/A|Header, 15-Pin|P8, P9|XY2500_15PIN_M_ST|Header 15|2
Header 18|Header, 18-Pin|P14PANEL|HDR1X18_BURGE_M|Header 18|1
XY2500 8PIN MALE ST, FEMALE R/A|Header, 8-Pin|PGSM|XY2500_8PIN_M_ST|Header 8|1
Header 16|Header, 16-Pin|PR2|HDR1X16_BURGE_F|Header 16|1
MFR 1M .5W|Semiconductor Resistor|R1, R2, R3, R4, R5, R6, R7, R8, R9, R115|AXIAL-0.5|Res Semi|10
